product_name,short_description,description,recommended_price,stock,insurance_label,upgrade_source_type,upgrade_target,market_lowest_usd,market_listing_count,cheapest_seller,our_cost_usd,margin_usd,from_ship,to_ship,insurance_months,from_msrp,to_msrp
Upgrade - Railen to 400i Warbond Edition,"CCU: Railen → 400i | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Railen → 400i

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Railen into a 400i without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",9.98,4,120 months,warbond,400i,10.98,9,"Seller: ElectricusSC
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,4.98,Railen,400i,120,225,250
Upgrade - Prowler to 600i Explorer Warbond Edition,"CCU: Prowler → 600i Explorer | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prowler → 600i Explorer

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prowler into a 600i Explorer without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",14.99,1,120 months,warbond,600i Explorer,15.99,3,Seller: Razers Real Dealz,5.00,9.99,Prowler,600i Explorer,120,440,475
Upgrade - Prowler to 600i Explorer Warbond Edition,"CCU: Prowler → 600i Explorer | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prowler → 600i Explorer

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prowler into a 600i Explorer without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",14.99,1,120 months,warbond,600i Explorer,15.99,3,Seller: Razers Real Dealz,5.00,9.99,Prowler,600i Explorer,120,440,475
Upgrade - Sabre to A1 Spirit  Standard Edition,"CCU: Sabre → A1 Spirit | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Sabre → A1 Spirit

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Sabre into a A1 Spirit without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",20.94,2,no ins.,regular,A1 Spirit,21.94,8,"Seller: Stanton Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",5.00,15.94,Sabre,A1 Spirit,0,175,200
Upgrade - Merchantman to A2 Hercules Warbond Edition,"CCU: Merchantman → A2 Hercules | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Merchantman → A2 Hercules

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Merchantman into a A2 Hercules without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",43.80,1,120 months,warbond,A2 Hercules,44.80,9,"Seller: Bazar
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",25.00,18.80,Merchantman,A2 Hercules,120,650,750
Upgrade - Mercury to Apollo Medivac Standard Edition,"CCU: Mercury → Apollo Medivac | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Mercury → Apollo Medivac

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Mercury into a Apollo Medivac without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",20.00,4,no ins.,regular,Apollo Medivac,21.00,10,Seller: Humble Provisions,15.00,5.00,Mercury,Apollo Medivac,0,260,290
Upgrade - Constellation Andromeda to Apollo Triage Standard Edition,"CCU: Constellation Andromeda → Apollo Triage | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Constellation Andromeda → Apollo Triage

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Constellation Andromeda into a Apollo Triage without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",12.80,1,no ins.,regular,Apollo Triage,13.80,8,Seller: Humble Provisions,10.00,2.80,Constellation Andromeda,Apollo Triage,0,240,260
Upgrade - Railen to Ares Inferno  Warbond Edition,"CCU: Railen → Ares Inferno | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Railen → Ares Inferno

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Railen into a Ares Inferno without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",34.90,1,120 months,warbond,Ares Inferno,35.90,3,"Seller: Stanton Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",10.00,24.90,Railen,Ares Inferno,120,225,250
Upgrade - Scorpius Antares to Ares Inferno  Warbond Edition,"CCU: Scorpius Antares → Ares Inferno | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Scorpius Antares → Ares Inferno

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Scorpius Antares into a Ares Inferno without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",7.00,3,120 months,warbond,Ares Inferno,8.00,8,"Seller: SCTradersCorp
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,2.00,Scorpius Antares,Ares Inferno,120,230,250
Upgrade - MOLE to Asgard Warbond Edition,"CCU: MOLE → Asgard | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | MOLE → Asgard

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged MOLE into a Asgard without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",23.99,2,120 months,warbond,Asgard,24.99,8,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,13.99,MOLE,Asgard,120,315,350
Upgrade - Eclipse to Caterpillar Warbond Edition,"CCU: Eclipse → Caterpillar | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Eclipse → Caterpillar

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Eclipse into a Caterpillar without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",41.04,2,120 months,warbond,Caterpillar,42.04,8,"Seller: Star Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",5.00,36.04,Eclipse,Caterpillar,120,300,330
Upgrade - Vanguard Sentinel to Constellation Aquila Warbond Edition,"CCU: Vanguard Sentinel → Constellation Aquila | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vanguard Sentinel → Constellation Aquila

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vanguard Sentinel into a Constellation Aquila without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",27.99,5,120 months,warbond,Constellation Aquila,28.99,4,Seller: DocsCosmicShop,15.00,12.99,Vanguard Sentinel,Constellation Aquila,120,275,315
Upgrade - Constellation Aquila to Constellation Phoenix Emerald Standard Edition,"CCU: Constellation Aquila → Constellation Phoenix Emerald | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Constellation Aquila → Constellation Phoenix Emerald

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Constellation Aquila into a Constellation Phoenix Emerald without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",53.48,1,no ins.,regular,Constellation Phoenix Emerald,54.48,6,"Seller: Deonlydon
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",35.00,18.48,Constellation Aquila,Constellation Phoenix Emerald,0,315,350
Upgrade - Vulture to Constellation Taurus Warbond Edition,"CCU: Vulture → Constellation Taurus | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vulture → Constellation Taurus

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vulture into a Constellation Taurus without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.99,2,120 months,warbond,Constellation Taurus,29.99,4,Seller: DocsCosmicShop,10.00,18.99,Vulture,Constellation Taurus,120,175,200
Upgrade - Defender to Corsair Warbond Edition,"CCU: Defender → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Defender → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Defender into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.97,6,120 months,warbond,Corsair,19.97,10,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,8.97,Defender,Corsair,120,220,250
Upgrade - Railen to Corsair Warbond Edition,"CCU: Railen → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Railen → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Railen into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",11.56,2,120 months,warbond,Corsair,12.56,8,"Seller: ElectricusSC
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,6.56,Railen,Corsair,120,225,250
Upgrade - Defender to Corsair Warbond Edition,"CCU: Defender → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Defender → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Defender into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.97,2,120 months,warbond,Corsair,19.97,10,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,8.97,Defender,Corsair,120,220,250
Upgrade - Terrapin to Corsair Warbond Edition,"CCU: Terrapin → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Terrapin → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Terrapin into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.00,1,120 months,warbond,Corsair,19.00,9,"Seller: The Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,8.00,Terrapin,Corsair,120,220,250
Upgrade - Terrapin to Corsair Warbond Edition,"CCU: Terrapin → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Terrapin → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Terrapin into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.00,1,120 months,warbond,Corsair,19.00,9,"Seller: The Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,13.00,Terrapin,Corsair,120,220,250
Upgrade - Vulcan to Corsair Standard Edition,"CCU: Vulcan → Corsair | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vulcan → Corsair

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vulcan into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",48.99,1,no ins.,regular,Corsair,49.99,9,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",15.00,33.99,Vulcan,Corsair,0,200,250
Upgrade - F7C-M Super Hornet Heartseeker to Defender Warbond Edition,"CCU: F7C-M Super Hornet Heartseeker Mk I → Defender | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | F7C-M Super Hornet Heartseeker Mk I → Defender

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged F7C-M Super Hornet Heartseeker Mk I into a Defender without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",27.62,2,no ins.,warbond,Defender,28.62,6,"Seller: ErisSpaceStore
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",5.00,22.62,F7C-M Super Hornet Heartseeker Mk I,Defender,0,200,220
Upgrade - Constellation Taurus to Defender Warbond Edition,"CCU: Constellation Taurus → Defender | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Constellation Taurus → Defender

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Constellation Taurus into a Defender without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",27.63,1,no ins.,warbond,Defender,28.63,10,"Seller: Discount Store
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,17.63,Constellation Taurus,Defender,0,200,220
Upgrade - Cutlass Red to F7C-R Hornet Tracker Standard Edition,"CCU: Cutlass Red → F7C-R Hornet Tracker Mk I | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Cutlass Red → F7C-R Hornet Tracker Mk I

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Cutlass Red into a F7C-R Hornet Tracker Mk I without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.52,1,no ins.,regular,F7C-R Hornet Tracker Mk I,29.52,4,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,23.52,Cutlass Red,F7C-R Hornet Tracker Mk I,0,135,150
Upgrade - Prospector to F7C-R Hornet Tracker Mk II Warbond Edition,"CCU: Prospector → F7C-R Hornet Tracker Mk II | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prospector → F7C-R Hornet Tracker Mk II

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prospector into a F7C-R Hornet Tracker Mk II without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",19.00,2,120 months,warbond,F7C-R Hornet Tracker Mk II,20.00,5,Seller: Blackrock Exchange,10.00,9.00,Prospector,F7C-R Hornet Tracker Mk II,120,155,185
